zip,GEO_NAME,med_home_sale_1_12,med_home_sale_1_15,med_home_sale_1_18,pop_2011,pop_2014,pop_2017,med_hh_inc_11,med_hh_inc_14,med_hh_inc_17,total_units_11,total_units_14,total_units_17,ownocc_units_11,ownocc_units_14,ownocc_units_17,rent_units_11,rent_units_14,rent_units_17,median_gross_rent_11,median_gross_rent_14,median_gross_rent_17
91901,Alpine California,390,490,632,16606,18184,18238,77064,81379,90397,16104,17782,17813,11259,12843,13642,4845,4939,4171,1274,1284,1397
91902,Bonita California,405,595,632,17399,19504,19762,78187,88926,92759,17379,19456,19699,14192,15009,13997,3187,4447,5702,1462,1653,1777
91910,Chula Vista California,250,389,508,71887,76797,76250,56510,54640,59371,71070,75863,75145,38566,37110,36004,32504,38753,39141,1137,1189,1298
91911,Chula Vista California,245,364,470,79518,83710,84025,48386,48891,52274,79101,83057,83096,42313,41658,42151,36788,41399,40945,1154,1210,1359
91913,Chula Vista California,305,420,517,40633,43655,49346,89737,84741,87440,40633,43650,49337,29091,31864,35928,11542,11786,13409,1831,1823,1947
91914,Chula Vista California,439,546,650,16741,16926,17186,105462,110343,131486,16741,16926,17186,14342,14214,14403,2399,2712,2783,"2,000+","2,000+",2425
91915,Chula Vista California,313,428,469,24329,27290,32073,94812,99606,106452,24319,27289,32073,18020,20205,23259,6299,7084,8814,"2,000+","2,000+",2250
91932,Imperial Beach California,243,388,595,25334,26257,26713,45480,48117,49950,25294,26231,26698,7807,8698,8147,17487,17533,18551,1111,1194,1269
91935,Jamul California,429,600,570,8387,8426,8547,101336,93092,98668,8382,8421,8542,7267,6714,7109,1115,1707,1433,1540,1504,1858
91941,La Mesa California,375,480,638,31762,33474,32944,71528,71661,79001,31620,33319,32797,20742,20673,19870,10878,12646,12927,1167,1232,1378
91942,La Mesa California,290,388,458,38314,39438,40239,52752,52354,56645,37636,38802,39565,19174,18670,15624,18462,20132,23941,1181,1289,1395
